time,open,high,low,close,volume,I,y,b,f,c,x
1638624720000,5.18,5.181,5.1446,5.17,16090,1638624779999,83079.6035,182,7914,40876.2898,0
1638624780000,5.1623,5.1941,5.1498,5.1798,14982,1638624839999,77470.4455,164,8831,45723.8443,0
1638624840000,5.1872,5.2152,5.1839,5.2145,10542,1638624899999,54776.0315,181,5666,29470.9366,0
1638624900000,5.2145,5.2231,5.2,5.2099,11321,1638624959999,58975.1868,138,7664,39927.5749,0
1638624960000,5.209,5.2307,5.209,5.2175,10518,1638625019999,54893.214,107,5047,26344.6082,0
1638625020000,5.2173,5.2289,5.2084,5.2289,6136,1638625079999,32012.1319,67,5524,28821.0305,0
1638625080000,5.2278,5.2324,5.1928,5.2064,8071,1638625139999,41992.8933,99,2416,12578.5098,0
1638625140000,5.2064,5.2209,5.2009,5.2048,22536,1638625199999,117419.2035,100,15733,81980.2704,0
1638625200000,5.2048,5.2167,5.1889,5.2167,33429,1638625259999,173732.1537,184,18448,95876.8063,0
1638625260000,5.2135,5.2406,5.2049,5.2317,20513,1638625319999,107161.8695,197,12352,64544.5509,0
1638625320000,5.2342,5.2548,5.2186,5.238,40920,1638625379999,214446.7593,327,27012,141595.0752,0
1638625380000,5.2381,5.2557,5.2293,5.247,7150,1638625439999,37487.072,108,3698,19396.3734,0
1638625440000,5.2444,5.2453,5.2101,5.2253,21965,1638625499999,114708.7319,157,6698,34967.3456,0
1638625500000,5.2154,5.2234,5.1959,5.1996,46007,1638625559999,239553.7353,325,21873,113869.0748,0
1638625560000,5.2027,5.2237,5.2026,5.2038,12804,1638625619999,66675.3428,91,11136,57986.8016,0
1638625620000,5.2131,5.23,5.204,5.2155,12401,1638625679999,64741.7278,74,4590,23975.0192,0
1638625680000,5.2187,5.2256,5.2056,5.2103,5548,1638625739999,28932.3988,43,4200,21906.7241,0
1638625740000,5.2055,5.224,5.2004,5.224,7144,1638625799999,37199.1544,52,4042,21052.1752,0
1638625800000,5.2173,5.2249,5.2173,5.2237,4543,1638625859999,23721.7225,30,2449,12792.1534,0
1638625860000,5.2227,5.2297,5.2101,5.217,5758,1638625919999,30041.8555,41,1263,6596.572,0
1638625920000,5.2156,5.2185,5.2106,5.2151,1325,1638625979999,6910.3246,20,1067,5565.0083,0
1638625980000,5.2153,5.2177,5.1944,5.1997,7751,1638626039999,40345.8194,95,2023,10527.1195,0
1638626040000,5.1951,5.2143,5.1907,5.206,21076,1638626099999,109513.576,123,6184,32175.618,0
1638626100000,5.2108,5.2108,5.1955,5.2085,3382,1638626159999,17599.6499,44,1045,5439.1921,0
1638626160000,5.2045,5.215,5.1954,5.2142,15193,1638626219999,78983.054,47,1170,6096.6591,0
1638626220000,5.2176,5.2345,5.2176,5.2345,9290,1638626279999,48570.02,91,2790,14590.7957,0
1638626280000,5.2345,5.2718,5.2312,5.2592,13702,1638626339999,71976.4765,333,10515,55252.5883,0
1638626340000,5.2667,5.272,5.252,5.2681,8513,1638626399999,44808.516,98,5096,26837.4505,0
1638626400000,5.2676,5.2676,5.2315,5.2315,19579,1638626459999,102715.3425,140,5067,26580.4467,0
1638626460000,5.2313,5.2549,5.2295,5.2459,7323,1638626519999,38361.7564,95,3756,19667.5386,0
1638626520000,5.2452,5.2549,5.2369,5.2534,4989,1638626579999,26178.2668,38,2014,10574.2823,0
1638626580000,5.2504,5.2535,5.2242,5.2244,5648,1638626639999,29574.7321,95,1730,9071.1763,0
1638626640000,5.2367,5.2488,5.2234,5.2292,6488,1638626699999,33951.4045,69,2602,13625.9134,0
1638626700000,5.2258,5.2303,5.2142,5.2179,3934,1638626759999,20533.642,86,471,2460.9791,0
1638626760000,5.2175,5.2222,5.21,5.2104,15532,1638626819999,80984.4361,124,14290,74509.8445,0
1638626820000,5.2163,5.2215,5.2113,5.2185,5532,1638626879999,28861.7706,34,4691,24477.1066,0
1638626880000,5.2181,5.2413,5.2175,5.2399,8597,1638626939999,44961.3566,85,5349,27981.0737,0
1638626940000,5.2401,5.2548,5.2353,5.2502,5600,1638626999999,29381.8596,83,3060,16055.3548,0
1638627000000,5.2507,5.2527,5.2339,5.2408,9144,1638627059999,47960.4499,72,5630,29548.101,0
1638627060000,5.2395,5.2489,5.23,5.242,10121,1638627119999,53050.3981,83,5061,26528.6505,0
1638627120000,5.2487,5.2684,5.2473,5.2684,9431,1638627179999,49545.2658,113,9393,49345.4116,0
1638627180000,5.2685,5.297,5.2592,5.2968,18626,1638627239999,98344.6553,277,12581,66414.2312,0
1638627240000,5.294,5.3399,5.294,5.3121,40089,1638627299999,213166.4479,551,19252,102253.6622,0
1638627300000,5.316,5.3245,5.31,5.3122,7033,1638627359999,37405.8768,70,5378,28608.8863,0
1638627360000,5.3072,5.3365,5.2924,5.3365,20950,1638627419999,111377.4304,212,16899,89840.2064,0
1638627420000,5.3355,5.3436,5.3205,5.3267,46884,1638627479999,250202.662,227,27052,144434.8476,0
1638627480000,5.3239,5.3368,5.32,5.3261,5069,1638627539999,27014.0429,60,2806,14957.1484,0
1638627540000,5.327,5.3346,5.2983,5.318,15181,1638627599999,80705.007,146,6199,32947.8759,0
1638627600000,5.3069,5.3488,5.3069,5.346,20325,1638627659999,108241.3964,151,19364,103118.0107,0
1638627660000,5.3488,5.3488,5.3189,5.3189,15751,1638627719999,84111.5667,122,2557,13623.7164,0
1638627720000,5.3255,5.3323,5.3139,5.3277,12286,1638627779999,65454.9713,80,11494,61240.7609,0
1638627780000,5.331,5.331,5.3163,5.3261,9498,1638627839999,50577.2428,69,3600,19164.3987,0
1638627840000,5.3275,5.3299,5.3151,5.3232,2743,1638627899999,14595.5575,44,1617,8605.1724,0
1638627900000,5.3223,5.3323,5.3153,5.3153,9757,1638627959999,51974.3789,78,7775,41424.5107,0
1638627960000,5.3151,5.3217,5.3096,5.316,7275,1638628019999,38672.1144,77,4328,23014.1292,0
1638628020000,5.3243,5.375,5.3187,5.375,52163,1638628079999,278693.2592,417,46752,249752.2731,0
1638628080000,5.375,5.4055,5.3626,5.3854,38761,1638628139999,208830.7981,418,16889,90946.4646,0
1638628140000,5.3886,5.4052,5.38,5.3895,51001,1638628199999,275008.1611,208,11226,60580.5381,0
1638628200000,5.382,5.4468,5.382,5.44,49265,1638628259999,267386.2242,521,25925,140447.7429,0
1638628260000,5.4468,5.4951,5.4383,5.4833,68586,1638628319999,375020.694,616,33125,181007.6264,0
1638628320000,5.4833,5.505,5.455,5.455,59194,1638628379999,324889.9435,554,28505,156644.3675,0
1638628380000,5.4542,5.5188,5.4538,5.5005,61382,1638628439999,337373.7701,394,34881,191565.1943,0
1638628440000,5.5027,5.517,5.4571,5.4879,38121,1638628499999,208799.5967,285,13082,71624.8521,0
1638628500000,5.4773,5.4944,5.4468,5.4578,37631,1638628559999,205680.6023,290,19887,108815.3935,0
1638628560000,5.4565,5.4621,5.4101,5.4303,21790,1638628619999,118246.1521,393,11926,64672.4248,0
1638628620000,5.4303,5.4389,5.4129,5.4384,19565,1638628679999,106162.057,129,5042,27381.8334,0
1638628680000,5.43,5.4372,5.3928,5.4096,24795,1638628739999,134337.7105,258,8005,43294.418,0
1638628740000,5.4106,5.4146,5.3828,5.4059,13441,1638628799999,72549.7305,185,7319,39510.6759,0
1638628800000,5.4091,5.4355,5.4083,5.4262,14008,1638628859999,75964.7428,142,9885,53588.8006,0
1638628860000,5.4256,5.4494,5.4138,5.4444,10051,1638628919999,54648.2452,148,7631,41477.0843,0
1638628920000,5.4467,5.4758,5.4375,5.4758,34302,1638628979999,187249.5104,269,16767,91465.365,0
1638628980000,5.4705,5.499,5.4634,5.479,66680,1638629039999,365708.1641,375,21722,119117.9415,0
1638629040000,5.4794,5.4838,5.4506,5.4509,14775,1638629099999,80754.6551,194,8936,48812.7068,0
1638629100000,5.457,5.4994,5.4528,5.4994,16116,1638629159999,88164.0781,177,11167,61121.3723,0
1638629160000,5.4976,5.5349,5.4964,5.5211,83810,1638629219999,462606.0454,534,30562,168570.0828,0
1638629220000,5.5227,5.5643,5.5068,5.5415,52710,1638629279999,291986.7858,499,27745,153576.3945,0
1638629280000,5.5458,5.5675,5.5313,5.5671,40249,1638629339999,223673.9381,305,21634,120218.2641,0
1638629340000,5.5671,5.5861,5.5463,5.5641,48344,1638629399999,269391.842,447,21569,120176.3484,0
1638629400000,5.5691,5.5767,5.5451,5.5767,28237,1638629459999,156918.4692,162,12328,68529.1851,0
1638629460000,5.57,5.6,5.5601,5.5616,35711,1638629519999,199465.7799,380,23127,129183.5265,0
1638629520000,5.5628,5.5696,5.5471,5.5552,13948,1638629579999,77554.4304,172,7379,41059.1869,0
1638629580000,5.5551,5.5884,5.5472,5.5859,15920,1638629639999,88734.4848,146,5965,33229.4321,0
1638629640000,5.584,5.586,5.558,5.5641,35109,1638629699999,195723.0965,134,4902,27301.0976,0
1638629700000,5.5671,5.5671,5.5493,5.5493,20800,1638629759999,115470.3009,121,11539,64058.6181,0
1638629760000,5.554,5.6006,5.5452,5.5861,52378,1638629819999,292813.9186,302,48053,268686.3961,0
1638629820000,5.5909,5.5959,5.5708,5.5835,32007,1638629879999,178850.5006,222,9923,55459.1521,0
1638629880000,5.581,5.5941,5.564,5.572,10614,1638629939999,59284.8406,140,6335,35388.8839,0
1638629940000,5.5724,5.5897,5.5572,5.5652,28514,1638629999999,158766.3615,159,8123,45269.2787,0
1638630000000,5.5635,5.5827,5.5493,5.5501,23339,1638630059999,129752.6503,178,15824,88013.3019,0
1638630060000,5.5537,5.5924,5.5489,5.5888,14984,1638630119999,83579.1419,146,8167,45519.013,0
1638630120000,5.5903,5.6565,5.59,5.6565,79410,1638630179999,446538.9391,917,60043,337539.6242,0
1638630180000,5.6565,5.6787,5.6486,5.65,51202,1638630239999,290185.4154,571,17729,100463.2411,0
1638630240000,5.65,5.6989,5.6484,5.6988,47417,1638630299999,269343.0575,441,39118,222206.5623,0
1638630300000,5.6937,5.7218,5.6868,5.7211,72579,1638630359999,413744.56,630,41803,238442.5991,0
1638630360000,5.7208,5.8024,5.7206,5.7667,177514,1638630419999,1027279.7843,1553,53058,306278.8406,0
1638630420000,5.7655,5.7825,5.7479,5.7693,22914,1638630479999,132125.5289,289,10675,61566.4287,0
1638630480000,5.7747,5.7976,5.77,5.7898,36479,1638630539999,211229.0661,274,17970,104047.6537,0
1638630540000,5.7962,5.8247,5.765,5.8145,37333,1638630599999,216223.5891,453,27649,160272.3691,0
1638630600000,5.8246,5.899,5.8177,5.8748,147010,1638630659999,859981.8179,1561,64110,375223.9358,0
